0deg,15deg,30deg,45deg,60deg,75deg,90deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
2076.818604,2079.448975,2076.350586,2083.170898,1980.140991,1962.586426,2034.221924,2048.683105,2040.017578,2025.299072,2029.534912,2021.370605,2026.348999,2018.298218
2076.186523,2079.063965,2075.970703,2082.370117,1981.583862,1963.201538,2037.828979,2050.1521,2043.009155,2025.269653,2030.661011,2021.450439,2025.830444,2020.278198
2076.316406,2077.997314,2074.813232,2081.249268,1982.043701,1964.812012,2042.312012,2051.209229,2044.153442,2026.700317,2030.381714,2022.462036,2026.341675,2022.944702
2076.128662,2077.810303,2073.536377,2081.006104,1982.576416,1967.617065,2045.853394,2054.184814,2045.014648,2027.324829,2032.406738,2021.648926,2025.572266,2025.084106
2075.879883,2076.544434,2071.433594,2079.952637,1983.69812,1971.559692,2048.547607,2054.867187,2046.480103,2028.658081,2032.140381,2021.386719,2025.191162,2026.348755
2076.279785,2076.878174,2070.771729,2078.268066,1984.363037,1973.886597,2048.165039,2056.443115,2048.020264,2030.253662,2032.415039,2022.707031,2024.787842,2027.764404
2075.449219,2075.649902,2069.693359,2077.054199,1984.189941,1977.60791,2052.941895,2057.392822,2049.987793,2031.668823,2033.204834,2021.978027,2024.115356,2030.621826
2075.694092,2074.440674,2069.406006,2075.707031,1986.393921,1982.090332,2052.766602,2058.149902,2051.020996,2033.13855,2033.301758,2022.730957,2023.771729,2031.674072
2075.422363,2074.366699,2068.647217,2075.058594,1989.272339,1987.418701,2055.856934,2058.868164,2052.454346,2034.880737,2034.932983,2022.619507,2023.657349,2032.743774
2074.828369,2073.394287,2067.844238,2072.536133,1992.440796,1992.931885,2055.962158,2059.366211,2052.883057,2036.580933,2034.920532,2022.052612,2022.684204,2034.00061
2073.864502,2072.661621,2067.053223,2072.17627,1996.932617,1999.408569,2057.893066,2059.831055,2052.635254,2037.025513,2036.45813,2021.65564,2022.304565,2033.931519
2073.815186,2071.57666,2065.657715,2071.861328,2001.550781,2004.835815,2057.004395,2060.213379,2052.796875,2037.911133,2037.259766,2023.819702,2021.372559,2034.632446
2073.950928,2070.804199,2064.414795,2071.241699,2005.878052,2011.462524,2060.084229,2060.428467,2054.225098,2038.454712,2038.625244,2076.529541,2021.14563,2035.843262
1979.350464,1980.591431,1977.605347,2008.417725,2011.969727,2017.165283,2059.098389,2060.433105,2050.206543,2049.893066,2070.442871,2075.679687,2090.41626,2036.483398
1980.229736,1980.648926,1976.901367,1989.637329,2086.723877,2025.067017,2060.098389,2061.318359,2052.435303,2052.571533,2069.966553,2075.669434,2091.273682,2036.991943
1980.290771,1980.896729,1976.827515,1987.904907,2086.810547,2031.323853,2058.000244,2047.912964,2053.045654,2052.833252,2069.630371,2075.052246,2090.737305,2037.52417
1980.743164,1980.994873,1977.254395,1987.192993,2086.014648,2038.64624,2042.556763,2050.703369,2054.889893,2053.154053,2068.419678,2075.366699,2089.944336,2038.156616
1981.284546,1981.822998,1977.39624,1986.882812,2086.964111,2047.245972,2046.906006,2053.913818,2056.236816,2051.446045,2067.795898,2074.296143,2089.854248,2038.839844
1981.574829,1981.089233,1979.49585,1988.270996,2085.394043,2073.212891,2054.995605,2056.132568,2057.526123,2050.841797,2065.395996,2074.73291,2089.421143,2056.799072
1982.216553,1982.427856,1979.434814,1987.312134,2086.166504,2072.866211,2059.030273,2058.330811,2058.526855,2051.157471,2065.210449,2073.690918,2089.84668,2060.054443
1982.15564,1983.28772,1980.142334,1988.29248,2087.125732,2073.931885,2060.586182,2059.141357,2059.082275,2050.233887,2064.7229,2073.296143,2089.878174,2063.512695
1982.615845,1983.545532,1981.21228,1988.064331,2087.615967,2074.212891,2066.734619,2060.625,2061.585205,2050.433594,2064.358154,2073.591309,2089.701416,2067.26123
1983.049072,1983.396851,1981.887817,1988.192627,2087.396484,2074.429199,2071.516602,2062.036621,2059.437744,2050.130371,2064.052979,2072.855957,2088.886719,2069.29126
1983.991211,1983.578247,1982.251953,1989.385132,2088.743408,2075.996094,2074.056152,2061.478027,2059.951172,2050.521484,2063.13623,2073.285156,2089.309814,2071.102783
1984.435791,1984.238037,1982.49585,1990.465942,2087.741455,2078.388916,2075.635742,2061.407471,2060.703125,2050.381592,2062.09668,2072.445557,2088.620605,2072.736328
1983.939209,1983.938721,1983.462402,1990.43396,2086.606934,2078.803223,2076.708984,2062.994141,2059.838379,2049.200195,2062.393555,2072.51416,2088.614502,2073.308594
1984.43689,1983.534546,1984.464111,1990.599121,2086.91333,2080.685303,2081.59082,2061.643799,2059.650146,2047.615967,2062.050049,2072.388672,2088.996826,2073.429199
1984.502075,1983.192017,1985.06543,1990.655151,2087.540527,2081.030029,2082.965332,2062.059814,2059.104004,2049.097656,2060.38501,2072.902588,2088.270996,2073.362793
1983.769775,1983.82019,1986.049194,1990.452393,2087.513916,2082.202148,2083.020996,2062.094971,2059.301025,2049.60498,2061.044189,2072.301514,2088.381592,2072.89502
1986.050293,1983.845459,1987.089233,1990.584351,2087.081787,2082.848145,2081.610352,2061.80957,2058.455322,2049.281006,2060.85083,2073.318848,2088.313232,2072.011963
1986.163696,1983.904175,1987.48645,1991.026001,2086.749023,2084.2771,2083.939941,2061.208496,2058.553711,2049.661865,2061.489258,2074.581055,2087.669678,2070.951416
1985.8479,1984.31543,1988.05481,1991.739746,2088.823242,2085.443359,2084.247314,2060.644043,2057.351074,2049.831787,2062.76001,2072.999023,2086.716064,2070.356934
1985.34436,1985.42981,1987.709351,1994.238647,2089.367187,2086.88208,2083.46875,2060.228027,2057.277832,2049.439453,2060.209473,2072.901123,2087.451172,2069.568359
1985.833374,1986.182739,1988.919922,1994.677002,2089.342285,2086.212891,2085.4729,2060.270996,2056.690674,2049.489258,2060.193359,2072.769531,2087.510498,2068.829102
1985.638672,1985.86145,1988.562134,1995.561523,2090.075195,2088.140137,2083.217529,2059.232422,2056.416016,2048.665283,2059.789551,2072.507812,2087.341553,2068.554199
1986.119385,1985.63562,1988.556274,1996.638672,2089.840576,2086.621582,2082.743408,2057.989258,2056.008301,2049.521973,2060.508301,2072.298584,2086.807373,2066.678955
1986.399048,1986.162231,1988.751953,1996.05249,2089.827393,2086.666504,2083.378662,2058.308105,2056.506836,2049.807373,2060.694824,2071.299805,2086.391113,2066.550781
1986.425903,1986.033203,1987.819092,1996.463867,2090.549072,2086.939941,2083.305664,2058.41626,2056.089111,2048.942139,2059.362061,2072.921387,2086.025635,2066.85791
1986.825806,1985.893799,1987.773926,1997.40979,2090.230225,2087.610352,2080.858887,2058.889404,2055.252686,2048.950439,2060.286621,2072.419189,2085.946289,2065.326172
1986.619629,1986.356323,1987.63562,1997.312378,2090.723389,2089.114502,2083.004639,2056.687744,2056.207275,2050.059326,2059.437744,2070.773926,2086.855225,2065.391846
1985.996094,1986.207275,1987.471069,1997.455444,2090.449463,2088.812256,2085.053711,2057.737061,2056.204102,2050.150635,2058.794678,2071.532471,2086.787354,2064.804932
1985.967773,1987.407837,1988.153931,1996.872803,2092.094482,2087.472656,2086.879639,2056.86084,2056.007812,2050.610107,2058.445801,2071.716064,2086.212646,2064.346924
